country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_criticle,total_cases_per_1M,deaths_per_1M,total_tests,tests_per_1M,population
Wallis and Futuna,4,,,,1,3,,359,,"1,149","1,03,096","11,145"
Samoa,2,,,,2,0,,10,,,,"1,99,035"
Vanuatu,1,,,,1,0,,3,,,,"3,10,480"
Ecuador,"2,06,329",72,"13,949",1,"1,81,618","10,762",382,"11,612",785,"7,13,606","40,161","1,77,68,432"
Dominican Republic,"1,61,052",666,"2,385",1,"1,24,931","33,736",245,"14,777",219,"8,29,781","76,133","1,08,99,040"
Bolivia,"1,50,023",253,"9,036",1,"1,27,969","13,018",71,"12,770",769,"3,89,124","33,124","1,17,47,637"
Kuwait,"1,48,209",230,922,1,"1,44,142","3,145",55,"34,466",214,"12,23,177","2,84,451","43,00,138"
Oman,"1,27,931",264,"1,489",1,"1,19,745","6,697",40,"24,760",288,"5,71,472","1,10,603","51,66,860"
Malaysia,"95,327","2,018",438,1,"78,393","16,496",109,"2,928",13,"31,22,277","95,892","3,25,60,459"
Kyrgyzstan,"79,254",132,"1,331",1,"73,005","4,918",94,"12,055",202,"5,64,763","85,902","65,74,512"
Norway,"44,113",208,405,1,"37,658","6,050",35,"8,107",74,"25,84,584","4,75,002","54,41,201"
Mozambique,"17,695",127,149,1,"15,733","1,813",,559,5,"2,58,914","8,178","3,16,60,607"
Papua New Guinea,761,1,9,1,601,151,,84,1,"36,674","4,063","90,26,082"
UAE,"1,94,652","1,077",639,2,"1,69,840","24,173",,"19,570",64,"1,94,61,277","19,56,601","99,46,473"
Honduras,"1,17,022",162,"3,027",2,"54,267","59,728",112,"11,728",303,"2,91,355","29,199","99,78,284"
Ghana,"53,954",98,333,2,"52,675",946,14,"1,720",11,"6,41,277","20,439","3,13,74,985"
Zambia,"18,768",52,375,2,"17,818",575,,"1,008",20,"5,31,000","28,514","1,86,22,182"
Liechtenstein,"1,784",26,27,2,"1,507",250,15,"46,726",707,"17,794","4,66,056","38,180"
Namibia,"19,299",585,180,3,"16,041","3,078",30,"7,532",70,"1,90,462","74,330","25,62,385"
Latvia,"31,335",395,443,4,"21,248","9,644",56,"16,701",236,"7,90,258","4,21,192","18,76,240"
Malta,"11,802",88,194,4,"10,115","1,493",18,"26,695",439,"4,88,518","11,04,997","4,42,099"
Kenya,"94,614",114,"1,644",5,"76,060","16,910",46,"1,742",30,"10,11,025","18,612","5,43,22,296"
Luxembourg,"44,582",91,450,6,"37,106","7,026",38,"70,682",713,"15,99,613","25,36,089","6,30,740"
Senegal,"17,879",121,371,6,"16,562",946,26,"1,055",22,"2,55,976","15,103","1,69,48,397"
Nepal,"2,54,514",742,"1,795",7,"2,44,743","7,976",,"8,662",61,"18,77,181","63,890","2,93,81,468"
El Salvador,"43,772",295,"1,257",7,"39,362","3,153",73,"6,732",193,"6,01,922","92,580","65,01,649"
Uganda,"31,384",197,238,7,"10,549","20,597",,676,5,"7,13,509","15,375","4,64,07,214"
Estonia,"22,083",287,181,7,"13,677","8,225",33,"16,642",136,"5,85,915","4,41,548","13,26,957"
Ethiopia,"1,20,348",397,"1,861",8,"1,03,681","14,806",265,"1,035",16,"17,47,905","15,031","11,62,85,078"
Saudi Arabia,"3,61,178",168,"6,131",9,"3,52,089","2,958",410,"10,300",175,"1,06,76,018","3,04,442","3,50,67,519"
Belarus,"1,75,416","1,893","1,333",9,"1,52,930","21,153",,"18,567",141,"37,94,812","4,01,659","94,47,850"
Philippines,"4,61,505","1,721","8,957",10,"4,29,207","23,341",708,"4,185",81,"64,95,973","58,913","11,02,64,730"
Israel,"3,76,857","2,097","3,109",10,"3,48,589","25,159",470,"40,973",338,"71,90,345","7,81,764","91,97,590"
Albania,"53,425",422,"1,098",10,"28,752","23,575",39,"18,574",382,"2,36,224","82,128","28,76,307"
Iraq,"5,85,345","1,200","12,710",13,"5,22,637","49,998",182,"14,402",313,"41,82,466","1,02,909","4,06,42,226"
Libya,"95,200",640,"1,369",16,"65,532","28,299",,"13,767",198,"5,12,817","74,159","69,15,079"
Sudan,"22,963",140,"1,450",16,"13,260","8,253",,518,33,,,"4,43,24,976"
Finland,"33,414",254,506,17,"22,500","10,408",33,"6,026",91,"23,06,700","4,16,012","55,44,793"
Denmark,"1,37,632","3,198","1,053",18,"93,214","43,365",87,"23,722",181,"95,11,837","16,39,452","58,01,839"
Lithuania,"1,14,487","2,130","1,039",20,"50,863","62,585",198,"42,338",384,"15,64,194","5,78,450","27,04,114"
Myanmar,"1,16,982",848,"2,465",22,"96,685","17,832",,"2,143",45,"16,15,672","29,601","5,45,81,704"
North Macedonia,"78,434",129,"2,314",22,"55,155","20,965",138,"37,648","1,111","3,81,207","1,82,979","20,83,333"
S. Korea,"50,591",926,698,24,"35,155","14,738",274,986,14,"37,13,861","72,409","5,12,90,074"
Moldova,"1,35,910",703,"2,777",25,"1,20,015","13,118",233,"33,729",689,"5,29,564","1,31,421","40,29,514"
Armenia,"1,54,065",240,"2,656",26,"1,33,176","18,233",,"51,946",896,"5,67,755","1,91,430","29,65,863"
Slovenia,"1,06,294",395,"2,379",26,"83,977","19,938",208,"51,126","1,144","6,28,232","3,02,169","20,79,073"
Japan,"1,98,523","2,643","2,900",27,"1,67,513","28,110",603,"1,572",23,"43,79,067","34,674","12,62,92,623"
Netherlands,"7,00,873","11,168","10,519",28,N/A,N/A,586,"40,861",613,"55,14,008","3,21,464","1,71,52,803"
Palestine,"1,23,945","1,302","1,169",28,"99,547","23,229",136,"24,037",227,"8,22,119","1,59,433","51,56,522"
Bangladesh,"5,02,183","1,470","7,312",32,"4,39,694","55,177",,"3,035",44,"30,91,349","18,683","16,54,60,614"
Guatemala,"1,32,867",102,"4,688",32,"1,21,337","6,842",5,"7,353",259,"6,07,660","33,628","1,80,70,219"
Czechia,"6,27,523","3,364","10,411",35,"5,34,686","82,426",588,"58,546",971,"35,38,944","3,30,175","1,07,18,380"
Jordan,"2,77,448","2,499","3,604",36,"2,46,168","27,676",313,"27,066",352,"29,83,088","2,91,012","1,02,50,747"
Chile,"5,87,488","1,943","16,197",43,"5,57,913","13,378",673,"30,609",844,"61,07,861","3,18,227","1,91,93,418"
Azerbaijan,"2,03,593","1,505","2,253",43,"1,42,807","58,533",,"19,995",221,"20,73,137","2,03,605","1,01,82,167"
Brazil,"72,41,612","3,012","1,86,818",45,"62,45,801","8,08,993","8,318","33,955",876,"2,57,00,000","1,20,504","21,32,71,284"
Georgia,"2,09,462",824,"2,140",46,"1,84,668","22,654",,"52,556",537,"17,97,437","4,50,990","39,85,534"
Canada,"5,12,026","4,231","14,275",47,"4,20,187","77,564",694,"13,511",377,"1,31,15,616","3,46,078","3,78,97,852"
Serbia,"3,03,747","3,685","2,733",47,"31,536","2,69,478",330,"34,831",313,"21,55,365","2,47,156","87,20,649"
Bosnia and Herzegovina,"1,06,222",216,"3,706",53,"71,548","30,968",,"32,473","1,133","4,87,271","1,48,962","32,71,107"
Portugal,"3,76,220","2,099","6,191",57,"2,99,603","70,426",502,"36,947",608,"51,86,675","5,09,367","1,01,82,594"
Pakistan,"4,58,968","1,792","9,392",62,"4,09,085","40,491","2,403","2,059",42,"63,36,113","28,427","22,28,92,259"
Slovakia,"1,52,555","1,219","1,618",63,"1,09,807","41,130",319,"27,936",296,"13,11,832","2,40,223","54,60,894"
Poland,"12,07,333","4,633","25,474",77,"9,46,017","2,35,842","1,714","31,917",673,"69,11,513","1,82,714","3,78,26,958"
Ukraine,"9,70,993","6,545","16,665",80,"5,86,268","3,68,060",177,"22,266",382,"53,03,103","1,21,606","4,36,08,741"
Croatia,"1,95,728",766,"3,257",80,"1,76,366","16,105",290,"47,818",796,"9,50,611","2,32,240","40,93,219"
Belgium,"6,25,930","2,170","18,626",81,"42,980","5,64,324",544,"53,897","1,604","66,06,666","5,68,881","1,16,13,438"
Austria,"3,40,373","1,519","5,435",84,"3,05,658","29,280",478,"37,691",602,"36,14,233","4,00,219","90,30,636"
Greece,"1,31,597",525,"4,257",85,"9,989","1,17,351",505,"12,655",409,"31,35,160","3,01,491","1,03,98,848"
Romania,"5,93,783","2,489","14,481",87,"5,01,896","77,406","1,255","30,964",755,"46,07,030","2,40,242","1,91,76,598"
Switzerland,"4,13,991","10,002","6,722",100,"3,11,500","95,769",433,"47,670",774,"33,49,768","3,85,721","86,84,436"
USA,"1,83,01,116","33,537","3,25,006",137,"1,06,27,585","73,48,525","27,978","55,137",979,"23,45,64,890","7,06,695","33,19,18,024"
Hungary,"3,05,130","2,141","8,282",183,"1,02,962","1,93,886",517,"31,624",858,"25,20,288","2,61,205","96,48,708"
Iran,"11,64,535","6,151","53,816",191,"8,94,366","2,16,353","5,519","13,782",637,"70,97,556","83,998","8,44,97,091"
Indonesia,"6,71,778","6,848","20,085",205,"5,46,884","1,04,809",,"2,444",73,"68,24,030","24,825","27,48,82,460"
UK,"20,73,511","33,364","67,616",215,N/A,N/A,"1,364","30,468",994,"5,08,51,151","7,47,215","6,80,54,268"
Turkey,"20,43,704","19,103","18,351",254,"18,34,705","1,90,648","5,192","24,110",216,"2,26,35,637","2,67,039","8,47,65,367"
India,"1,00,75,036","18,788","1,46,134",291,"96,34,866","2,94,036","8,944","7,267",105,"16,20,98,329","1,16,922","1,38,63,82,478"
Mexico,"13,20,545","6,870","1,18,202",326,"9,78,002","2,24,341","3,890","10,192",912,"33,77,517","26,067","12,95,69,201"
Italy,"19,64,054","10,872","69,214",415,"12,81,258","6,13,582","2,731","32,507","1,146","2,52,17,014","4,17,364","6,04,19,662"
Russia,"28,77,727","29,350","51,351",493,"22,95,362","5,31,014","2,300","19,715",352,"8,63,91,683","5,91,869","14,59,64,097"
